"ITEM   ","WINE DESC                        ","BEER DESCR                        ","CU/ML BR ","CU/ML  ","U/C"," CASE UPC    "," BOTL UPC   ","      RETL UPC","SUB","SUB DESCRP     ","BRN","BRAND DESC    ","SP ","                "
"819777 ","1565 CIAMBELLE  WITH CHOCOLATE CH","1565 CIAMBELLE WITH CHOCOLATE CHIP","         ","       ","  1","000000000000 ","000350004620","08000350004620","Y00","VICENZI        ","Y00","VICENZI       ","L6 ","VICENZI S.P.A.  "
"819778 ","1566 CIAMBELE C ITRUS HAZELNUT AL","1566 CIAMBELE CITRUS HAZELNUT ALMO","         ","       ","  1","000000000000 ","000350004637","08000350004637","Y00","VICENZI        ","Y00","VICENZI       ","L6 ","VICENZI S.P.A.  "
"819779 ","3416 MINISNACK  HAZELNUT DISPLAY ","3416 MINISNACK HAZELNUT DISPLAY   ","         ","       "," 24","000000000000 ","000350004033","08000350004033","Y00","VICENZI        ","Y00","VICENZI       ","L6 ","VICENZI S.P.A.  "
"819780 ","3417 MINISNACK  PASTRY DISPLAY   ","3417 MINISNACK PASTRY DISPLAY     ","         ","       "," 24","000000000000 ","000350004071","08000350004071","Y00","VICENZI        ","Y00","VICENZI       ","L6 ","VICENZI S.P.A.  "
"819781 ","2275 MAGNIFICO  CHOCOCREAM WAFER ","2275 MAGNIFICO CHOCOCREAM WAFER   ","         ","       "," 24","000000000000 ","000350005597","08000350005597","Y00","VICENZI        ","Y00","VICENZI       ","L6 ","VICENZI S.P.A.  "
"819782 ","2276 MAGNIFICO  VANILLACREAM WAFE","2276 MAGNIFICO VANILLACREAM WAFER ","         ","       "," 24","000000000000 ","000350005603","08000350005603","Y00","VICENZI        ","Y00","VICENZI       ","L6 ","VICENZI S.P.A.  "
"819783 ","2277 MAGNIFICO  HAZELNUTCREAM WAF","2277 MAGNIFICO HAZELNUTCREAM WAFER","         ","       "," 24","000000000000 ","000350005610","08000350005610","Y00","VICENZI        ","Y00","VICENZI       ","L6 ","VICENZI S.P.A.  "
"819784 ","3000 VICENZOVO  LADY FINGER      ","3000 VICENZOVO LADY FINGER        ","         ","       ","  1","000000000000 ","000350000585","08000350000585","Y00","VICENZI        ","Y00","VICENZI       ","L6 ","VICENZI S.P.A.  "
"819785 ","3203 MILLEFOGLI E PUFF PASTRY 125","3203 MILLEFOGLIE PUFF PASTRY 125G ","         ","       ","  1","000000000000 ","000350000332","08000350000332","Y00","VICENZI        ","Y00","VICENZI       ","L6 ","VICENZI S.P.A.  "
"819786 ","3204 SUGARICING  COATED PUFF PAST","3204 SUGARICING COATED PUFF PASTRY","         ","       ","  1","000000000000 ","000350001919","08000350001919","Y00","VICENZI        ","Y00","VICENZI       ","L6 ","VICENZI S.P.A.  "
"819787 ","3100 AMARETTO I TALIA MACAROON 20","3100 AMARETTO ITALIA MACAROON 200G","         ","       ","  1","000000000000 ","000350000080","08000350000080","Y00","VICENZI        ","Y00","VICENZI       ","L6 ","VICENZI S.P.A.  "
"819788 ","3155 AMARETTINO  TINY MACAROON 10","3155 AMARETTINO TINY MACAROON 100G","         ","       ","  1","000000000000 ","000350002114","08000350002114","Y00","VICENZI        ","Y00","VICENZI       ","L6 ","VICENZI S.P.A.  "
"819789 ","2322 CANTUCCINI  IN BAG 225G     ","2322 CANTUCCINI IN BAG 225G       ","         ","       ","  1","000000000000 ","000350003821","08000350003821","Y00","VICENZI        ","Y00","VICENZI       ","L6 ","VICENZI S.P.A.  "
"819790 ","3323 CIAMBELLIN E 50G            ","3323 CIAMBELLINE 50G              ","         ","       ","  1","000000000000 ","000350004859","08000350004859","Y00","VICENZI        ","Y00","VICENZI       ","L6 ","VICENZI S.P.A.  "
