"WHSE  ","ITEM   ","DESCRIPT                           ","U/C","   COST01 ","   COST02 ","   COST03 ","   COST04 ","   COST05 ","   COST06 ","   COST07 ","   COST08 ","   COST09 ","   COST10 ","    TOTAL  ","   COST99 "
"11010 ","00127  ","POLAR BEER 24/12OZ BOTTLE          "," 24","   28.155 ","          ","    4.525 ","     .018 ","   24.723 ","          ","    1.471 ","     .192 ","     .146 ","     .083 ","    59.312 ","   27.500 "
"11020 ","00127  ","POLAR BEER 24/12OZ BOTTLE          "," 24","   28.155 ","          ","    4.525 ","     .018 ","   24.723 ","          ","    1.471 ","     .192 ","     .146 ","     .083 ","    59.312 ","   27.500 "
"11060 ","00127  ","POLAR BEER 24/12OZ BOTTLE          "," 24","   28.155 ","          ","    4.525 ","     .018 ","          ","          ","          ","     .192 ","     .146 ","     .083 ","    33.118 ","   17.500 "
"11010 ","00132  ","EDEL BEER 12/50CL                  "," 12","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","          "
"11020 ","00132  ","EDEL BEER 12/50CL                  "," 12","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","          "
"11060 ","00132  ","EDEL BEER 12/50CL                  "," 12","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","          "
"11010 ","00133  ","EDEL BEER 24/33CL                  "," 24","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","          "
"11020 ","00133  ","EDEL BEER 24/33CL                  "," 24","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","          "
"11060 ","00133  ","EDEL BEER 24/33CL                  "," 24","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","          "
"11010 ","00134  ","BRASA BEER 24/275ML                "," 24","   23.340 ","          ","    6.050 ","     .010 ","   19.141 ","          ","    1.270 ","     .169 ","     .120 ","     .070 ","    50.169 ","          "
"11020 ","00134  ","BRASA BEER 24/275ML                "," 24","   23.340 ","          ","    6.050 ","     .010 ","   19.141 ","          ","    1.270 ","     .169 ","     .120 ","     .070 ","    50.169 ","          "
"11060 ","00134  ","BRASA BEER 24/275ML                "," 24","   23.340 ","          ","    6.050 ","     .010 ","          ","          ","          ","     .169 ","     .120 ","     .070 ","    29.759 ","          "
"11010 ","00135  ","POLAR PREMIUM 24/12OZ CAN          "," 24","   25.170 ","          ","    4.620 ","     .030 ","   24.710 ","          ","    1.340 ","     .180 ","     .150 ","     .090 ","    56.290 ","          "
"11020 ","00135  ","POLAR PREMIUM 24/12OZ CAN          "," 24","   25.170 ","          ","    4.620 ","     .030 ","   24.710 ","          ","    1.340 ","     .180 ","     .150 ","     .090 ","    56.290 ","          "
"11060 ","00135  ","POLAR PREMIUM 24/12OZ CAN          "," 24","   25.170 ","          ","    4.620 ","     .030 ","          ","          ","          ","     .180 ","     .150 ","     .090 ","    30.240 ","          "
"11010 ","00136  ","CORONA CERO BTL 24/355             "," 24","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","          "
"11020 ","00136  ","CORONA CERO BTL 24/355             "," 24","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","          "
"11060 ","00136  ","CORONA CERO BTL 24/355             "," 24","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","          "
"11060 ","00306  ","POLAR MALT 24/12OZ BOTTLE          "," 24","   23.710 ","          ","    4.360 ","     .020 ","          ","          ","          ","     .160 ","          ","          ","    28.250 ","          "
"11010 ","00311  ","POLAR MALT 24/12OZ CAN             "," 24","   19.365 ","          ","    3.130 ","     .013 ","    2.130 ","          ","    1.017 ","     .152 ","     .105 ","     .059 ","    25.970 ","   30.000 "
"11020 ","00311  ","POLAR MALT 24/12OZ CAN             "," 24","   19.365 ","          ","    3.130 ","     .013 ","    2.130 ","          ","    1.017 ","     .152 ","     .105 ","     .059 ","    25.970 ","   30.000 "
"11060 ","00311  ","POLAR MALT 24/12OZ CAN             "," 24","   19.365 ","          ","    3.130 ","     .013 ","          ","          ","          ","     .152 ","     .105 ","     .059 ","    22.823 ","   30.000 "
"11010 ","00312  ","POLAR MALT 24/7OZ BOTTLE           "," 24","   16.180 ","          ","    2.970 ","     .011 ","    1.242 ","          ","     .854 ","     .124 ","     .082 ","     .051 ","    21.514 ","   30.000 "
"11020 ","00312  ","POLAR MALT 24/7OZ BOTTLE           "," 24","   16.180 ","          ","    2.970 ","     .011 ","    1.242 ","          ","     .854 ","     .124 ","     .082 ","     .051 ","    21.514 ","   30.000 "
"11060 ","00312  ","POLAR MALT 24/7OZ BOTTLE           "," 24","   16.180 ","          ","    2.970 ","     .011 ","          ","          ","          ","     .124 ","     .082 ","     .051 ","    19.418 ","   30.000 "
"11010 ","00401  ","COCA COLA 20OZ 6/590               "," 24","    7.800 ","          ","          ","          ","          ","          ","          ","          ","          ","          ","     7.800 ","   25.000 "
"11020 ","00401  ","COCA COLA 20OZ 6/590               "," 24","    8.600 ","          ","          ","          ","          ","          ","          ","          ","          ","          ","     8.600 ","   25.000 "
"11060 ","00401  ","COCA COLA 20OZ 6/590               "," 24","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","   21.000 "
"11010 ","00402  ","COCA COLA 1LTR 1/1L                "," 12","    2.350 ","          ","          ","          ","          ","          ","          ","          ","          ","          ","     2.350 ","   25.000 "
"11020 ","00402  ","COCA COLA 1LTR 1/1L                "," 12","    2.600 ","          ","          ","          ","          ","          ","          ","          ","          ","          ","     2.600 ","   25.000 "
"11060 ","00402  ","COCA COLA 1LTR 1/1L                "," 12","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","   21.000 "
"11010 ","00403  ","COCA COLA 2LTR 1/2L                ","  6","    4.200 ","          ","          ","          ","          ","          ","          ","          ","          ","          ","     4.200 ","   25.000 "
"11020 ","00403  ","COCA COLA 2LTR 1/2L                ","  6","    4.500 ","          ","          ","          ","          ","          ","          ","          ","          ","          ","     4.500 ","   25.000 "
"11060 ","00403  ","COCA COLA 2LTR 1/2L                ","  6","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","   21.000 "
